"Jenis Kelamin","Tempat lahir","Tanggal lahir","Tinggi badan (dalam centimeter)","IPK (gunakan titik sebagai pemisah, contoh: 3.92)","Rencana Pilihan Bidang Riset (Tidak berpengaruh ke mana-mana)","Rata-rata penggunaan kuota data dalm sebulan (satuan MB, contoh isian: 300, 1000, 10000)"
"Pria","Kotamenara","2019-10-09","73","2.98","Sistem Data dan Jaringan","100000"
"Pria","Tompaso","2000-03-29","167","3.21","Multimedia dan Grafika Komputer","3000"
"Pria","Manado","2000-06-30","174","3.05","Multimedia dan Grafika Komputer","20000"
"Wanita","Boyong Atas","1999-07-31","159","3.75","Sistem Informasi","40000"
"Wanita","Manado","2000-10-18","169","3.86","Sistem Data dan Jaringan","30720"
"Pria","Jakarta","1999-10-19","166","2.32","Sistem Informasi","10000"
"Wanita","Tonom","1999-07-20","150","3.60","Sistem Informasi","55000"
"Wanita","Manado","1999-07-22","162","3.59","Multimedia dan Grafika Komputer","30000"
"Pria","Manado","2000-07-28","173","3.50","Sistem Data dan Jaringan","20000"
"Pria","Manado","1999-11-27","165","3.59","Multimedia dan Grafika Komputer","5000"
"Pria","Banjarnegara","1999-12-28","160","3.54","Multimedia dan Grafika Komputer","30000"
"Pria","Jakarta","1999-07-06","179","3.49","Multimedia dan Grafika Komputer","15000"
"Wanita","Kotamobagu","2000-07-21","160","3.45","Sistem Data dan Jaringan","30000"
"Wanita","Bitung","1999-09-22","165","3.33","Sistem Informasi","20000"
"Wanita","Manado","1999-11-18","163","3.25","Multimedia dan Grafika Komputer","15000"
"Pria","Bandung","2000-02-28","174","3.73","Sistem Data dan Jaringan","30000"
"Wanita","Manado","1999-06-17","156","3.61","Sistem Data dan Jaringan","40000"
"Wanita","Rukuwa","1999-04-10","158 ","3.52","Sistem Informasi","17000"
"Wanita","Langowan","1999-09-12","165","3.27","Sistem Data dan Jaringan","10000"
"Wanita","Palembang","1999-09-23","165","3.59","Sistem Data dan Jaringan","10000"
"Wanita","Kawangkoan","1999-09-05","161","3.18","Multimedia dan Grafika Komputer","50000"
"Wanita","Makassar","2000-09-09","160","3.75","Sistem Informasi","10000"
"Wanita","Amurang","1999-12-24","160","3.23","Multimedia dan Grafika Komputer","20000"
"Wanita","Jakarta","1999-07-16","165","3.49","Sistem Informasi","70000"
"Pria","Tomohon","1999-04-07","171 ","2.90","Sistem Informasi","50000"
"Wanita","Tomohon","1999-12-09","175","3.61","Sistem Informasi","10000"
"Pria","Sidomukti","2000-01-03","165","3.61","Multimedia dan Grafika Komputer","30000"
"Pria","Manado","2000-06-29","173","3.37","Sistem Data dan Jaringan","40000"
"Wanita","Palu","1999-09-04","160","3.59","Multimedia dan Grafika Komputer","12000"
"Wanita","Bitung","1999-11-22","168","3.58","Multimedia dan Grafika Komputer","30000"
"Pria","Manado","1999-11-25","172","3.54","Multimedia dan Grafika Komputer","15000"
"Pria","Ternate","1999-09-09","170","3.23","Sistem Data dan Jaringan","10000"
"Wanita","Manado","1999-03-05","162","3.68","Sistem Informasi","45000"
"Pria","manado","1999-05-23","175","3.58","Sistem Data dan Jaringan","10000"
"Pria","Manado","1999-07-04","175","3.59","Sistem Informasi","4000"
"Pria","Sonder","1999-06-08","178","3.55","Sistem Informasi","10000"
"Wanita","Manado","1999-07-04","155","3.31","Multimedia dan Grafika Komputer","6000"
"Wanita","Tomohon","2000-01-25","156","3.40","Multimedia dan Grafika Komputer","30000"
"Pria","Tombatu","2000-01-21","157","3.59","Sistem Informasi","10000"
"Pria","Tempang","1999-10-19","175","2.98","Multimedia dan Grafika Komputer","40000"
"Wanita","Manado","2000-02-02","158","3.31","Sistem Informasi","10240"
"Pria","Bitung","2000-02-03","171","3.57","Sistem Data dan Jaringan","30700"
"Pria","Tomohon","2019-05-10","163","2.95","Sistem Informasi","10000"
"Pria","Tomohon","1999-04-21","178","3.83","Sistem Informasi","500"
"Wanita","Manado","2000-12-07","162","3.51","Multimedia dan Grafika Komputer","15000"
"Pria","Amurang","2000-06-14","175","2.91","Sistem Informasi","25000"
"Wanita","Kapoya","1999-07-04","168","3.75","Sistem Data dan Jaringan","12000"
"Pria","Manado","1998-08-22","168","3.75","Sistem Informasi","21000"
"Pria","Langowan","1999-11-30","165","3.86","Sistem Informasi","12000"
"Pria","Kotamobagu","1999-04-12","168","3.69","Sistem Data dan Jaringan","74300"
"Pria","Manado","2000-10-26","170","3.98","Sistem Informasi","15000"
"Wanita","Manado","1999-02-23","160","3.63","Sistem Data dan Jaringan","5000"
"Pria","Amurang","2000-06-14","175","2.91","Sistem Informasi","25000"
